Gene,Variant,Drug
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,imatinib
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,(R)-methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,lamivudine
CYP2B6,rs3745274,zidovudine
CYP2B6,rs3745274,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,imatinib
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,mitotane
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,bupropion
CYP2B6,rs3745274,opioids
CYP2B6,rs2279343,bupropion
CYP2B6,rs8192709,efavirenz
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs2279343,efavirenz
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs8192709,cyclophosphamide
CYP2B6,rs8192709,doxorubicin
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,doxorubicin
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,doxorubicin
CYP2B6,rs8192709,cyclophosphamide
CYP2B6,rs8192709,doxorubicin
CYP2B6,rs12721655,cyclophosphamide
CYP2B6,rs12721655,doxorubicin
CYP2B6,rs3745274,imatinib
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,clopidogrel
CYP2B6,rs3745274,levonorgestrel
CYP2B6,Unknown Variant,(R)-methadone
CYP2B6,rs8100458,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,propofol
CYP2B6,rs3745274,tacrolimus
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,lamivudine
CYP2B6,rs3745274,stavudine
CYP2B6,rs35303484,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs8109525,varenicline
CYP2B6,rs3760657,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,lamivudine
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,zidovudine
CYP2B6,rs2279345,efavirenz
CYP2B6,rs2279345,efavirenz
CYP2B6,rs3745274,bupropion
CYP2B6,rs3745274,hydroxybupropion
CYP2B6,rs3745274,tacrolimus
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,sertraline
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,nevirapine
CYP2B6,rs2279345,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,methadone
CYP2B6,rs2279343,methadone
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs707265,efavirenz
CYP2B6,rs3181842,efavirenz
CYP2B6,rs7246465,efavirenz
CYP2B6,rs1042389,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,(S)-methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,rs28399499,efavirenz
CYP2B6,rs28399499,lamivudine
CYP2B6,rs28399499,zidovudine
CYP2B6,rs4803419,efavirenz
CYP2B6,rs4803419,lamivudine
CYP2B6,rs4803419,zidovudine
CYP2B6,rs4803419,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3826711,opioids
CYP2B6,Unknown Variant,methadone
CYP2B6,rs2235036,opioids
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,(S)-methadone
CYP2B6,rs2279343,bupropion
CYP2B6,rs8192709,bupropion
CYP2B6,rs3745274,bupropion
CYP2B6,rs3745274,"3,4-methylenedioxymethamphetamine"
CYP2B6,Unknown Variant,nicotine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,efavirenz
CYP2B6,rs12721655,cyclophosphamide
CYP2B6,rs12721655,doxorubicin
CYP2B6,rs8192709,cyclophosphamide
CYP2B6,rs8192709,doxorubicin
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,doxorubicin
CYP2B6,rs4802101,cyclophosphamide
CYP2B6,rs4802101,doxorubicin
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,doxorubicin
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,lumefantrine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,lumefantrine
CYP2B6,rs3745274,lumefantrine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,propofol
CYP2B6,rs28399499,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279343,nevirapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,(S)-methadone
CYP2B6,rs35303484,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs7254579,cyclophosphamide
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,nevirapine
CYP2B6,rs4803419,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4802101,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,lopinavir
CYP2B6,rs3745274,ritonavir
CYP2B6,Unknown Variant,chlorambucil
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,fludarabine
CYP2B6,rs2279343,methadone
CYP2B6,rs2279343,nevirapine
CYP2B6,rs3745274,methadone
CYP2B6,rs12721646,nevirapine
CYP2B6,rs58425034,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,rs2279343,efavirenz
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,nevirapine
CYP2B6,Unknown Variant,ketamine
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,rs4803419,olanzapine
CYP2B6,rs2279345,olanzapine
CYP2B6,Unknown Variant,buprenorphine
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs28399499,nevirapine
CYP2B6,rs3745274,nevirapine
CYP2B6,rs12721655,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,cotinine
CYP2B6,Unknown Variant,nicotine
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,methadone
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279345,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,methadone
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,ketamine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs2279343,ketamine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs8192709,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs1042389,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs35303484,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,hydroxybupropion
CYP2B6,Unknown Variant,bupropion
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3211371,methadone
CYP2B6,rs8192709,S-EDDP
CYP2B6,rs2279344,methadone
CYP2B6,rs8192709,methadone
CYP2B6,rs2279344,S-EDDP
CYP2B6,rs3745274,methadone
CYP2B6,rs3745274,S-EDDP
CYP2B6,rs3211371,S-EDDP
CYP2B6,rs4803419,S-EDDP
CYP2B6,rs8192719,S-EDDP
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,clopidogrel
CYP2B6,rs3745274,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,lamivudine
CYP2B6,Unknown Variant,stavudine
CYP2B6,Unknown Variant,zidovudine
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,chlorambucil
CYP2B6,Unknown Variant,fludarabine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs707265,efavirenz
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,fludarabine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,ethambutol
CYP2B6,Unknown Variant,isoniazid
CYP2B6,Unknown Variant,pyrazinamide
CYP2B6,Unknown Variant,rifampin
CYP2B6,rs3745274,methadone
CYP2B6,Unknown Variant,nicotine
CYP2B6,rs2279343,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,dactinomycin
CYP2B6,rs3211371,vincristine
CYP2B6,rs8192719,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279345,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,dactinomycin
CYP2B6,rs3745274,vincristine
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,dactinomycin
CYP2B6,rs3745274,vincristine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,cyclophosphamide
CYP2B6,rs3211371,dactinomycin
CYP2B6,rs3211371,vincristine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs2279343,dactinomycin
CYP2B6,rs2279343,vincristine
CYP2B6,rs3745274,nevirapine
CYP2B6,rs2279343,nevirapine
CYP2B6,rs3211371,nevirapine
CYP2B6,rs3786547,nevirapine
CYP2B6,rs3745274,nevirapine
CYP2B6,rs2054675,nevirapine
CYP2B6,rs28399499,nevirapine
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs2279343,dactinomycin
CYP2B6,rs2279343,vincristine
CYP2B6,Unknown Variant,nicotine
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,propofol
CYP2B6,Unknown Variant,propofol
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,nevirapine
CYP2B6,Unknown Variant,propofol
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3211371,bupropion
CYP2B6,Unknown Variant,nevirapine
CYP2B6,rs35303484,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,rs35979566,nevirapine
CYP2B6,rs45482602,methadone
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,propofol
CYP2B6,Unknown Variant,propofol
CYP2B6,rs28399499,nevirapine
CYP2B6,Unknown Variant,mirtazapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,clopidogrel
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,sibutramine
CYP2B6,Unknown Variant,bupropion
CYP2B6,Unknown Variant,fludarabine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs8192719,methadone
CYP2B6,rs8192709,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,prasugrel
CYP2B6,rs70950385,efavirenz
CYP2B6,Unknown Variant,antineoplastic agents
CYP2B6,Unknown Variant,tamoxifen
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,nevirapine
CYP2B6,rs28399499,lumefantrine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs2279343,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs4803419,methadone
CYP2B6,Unknown Variant,nicotine
CYP2B6,Unknown Variant,nicotine
CYP2B6,rs3745274,methadone
CYP2B6,rs3211371,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,mitotane
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,tramadol
CYP2B6,Unknown Variant,methadone
CYP2B6,rs3745274,ibuprofen
CYP2B6,rs3745274,bupropion
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs2279343,cyclophosphamide
CYP2B6,rs3745274,tramadol
CYP2B6,rs28399499,tenofovir
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,hydroxybupropion
CYP2B6,Unknown Variant,cyclophosphamide
CYP2B6,Unknown Variant,sertraline
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,tenofovir
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs374099483,efavirenz
CYP2B6,rs117872433,efavirenz
CYP2B6,rs148009906,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs200458614,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs535039125,bupropion
CYP2B6,rs535039125,efavirenz
CYP2B6,rs201500445,bupropion
CYP2B6,rs374099483,bupropion
CYP2B6,rs200458614,bupropion
CYP2B6,rs148009906,bupropion
CYP2B6,rs764288403,bupropion
CYP2B6,rs58871670,bupropion
CYP2B6,rs200238771,bupropion
CYP2B6,rs117872433,bupropion
CYP2B6,rs200238771,efavirenz
CYP2B6,rs764288403,efavirenz
CYP2B6,rs201500445,efavirenz
CYP2B6,Unknown Variant,bupropion
CYP2B6,rs58871670,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,rs3745274,cyclophosphamide
CYP2B6,Unknown Variant,dihydroartemisinin
CYP2B6,Unknown Variant,desbutyl lumefantrine
CYP2B6,Unknown Variant,lumefantrine
CYP2B6,Unknown Variant,levonorgestrel
CYP2B6,Unknown Variant,levonorgestrel
CYP2B6,rs2279343,efavirenz
CYP2B6,rs2279343,lamivudine
CYP2B6,rs2279343,tenofovir
CYP2B6,rs2279343,nicotine
CYP2B6,rs28399499,efavirenz
CYP2B6,rs3745274,imatinib
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,mirtazapine
CYP2B6,rs1038376,methadone
CYP2B6,rs58425034,nevirapine
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs28399499,efavirenz
CYP2B6,Unknown Variant,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,methadone
CYP2B6,rs3745274,efavirenz
CYP2B6,Unknown Variant,propofol
CYP2B6,rs3745274,efavirenz
CYP2B6,rs1969376664,efavirenz
CYP2B6,rs142421637,efavirenz
CYP2B6,rs553968231,efavirenz
CYP2B6,rs772413158,efavirenz
CYP2B6,rs1969255598,efavirenz
CYP2B6,rs3745274,nevirapine
CYP2B6,rs1969136524,efavirenz
CYP2B6,rs750671397,efavirenz
CYP2B6,rs1248477767,efavirenz
CYP2B6,rs752695347,efavirenz
CYP2B6,rs1968919352,efavirenz
CYP2B6,rs141666881,efavirenz
CYP2B6,rs373442191,efavirenz
CYP2B6,rs773494867,efavirenz
CYP2B6,rs1282926098,efavirenz
CYP2B6,rs553968231,propofol
CYP2B6,rs373442191,propofol
CYP2B6,rs1969376664,propofol
CYP2B6,rs1282926098,propofol
CYP2B6,rs752695347,propofol
CYP2B6,rs138264188,propofol
CYP2B6,rs1969136524,propofol
CYP2B6,rs142421637,propofol
CYP2B6,rs773494867,propofol
CYP2B6,rs3745274,efavirenz
CYP2B6,rs4803419,efavirenz
CYP2B6,rs35303484,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,efavirenz
CYP2B6,Unknown Variant,nevirapine
CYP2B6,Unknown Variant,efavirenz
CYP2B6,rs28399499,nevirapine
CYP2B6,rs12721646,nevirapine
CYP2B6,Unknown Variant,methadone
CYP2B6,Unknown Variant,R-EDDP
CYP2B6,Unknown Variant,S-EDDP
DGKH,rs9315885,lithium
DGKH,rs1170191,lithium
DGKH,rs1012053,lithium
GSTZ1,rs1046428,dichloroacetic acid
GSTZ1,rs7972,dichloroacetic acid
GSTZ1,rs7975,dichloroacetic acid
GSTZ1,rs1046428,dichloroacetic acid
GSTZ1,rs7972,dichloroacetic acid
GSTZ1,rs7975,dichloroacetic acid
BRINP3,rs950569,uric acid
FAT1,rs2304865,aripiprazole
FAT1,rs2637777,aripiprazole
FAT1,rs2306987,aripiprazole
FAT1,rs2306990,aripiprazole
FAT1,rs116134453,capecitabine
COQ3,rs11548336,hmg coa reductase inhibitors
NEDD4L,rs4149601,hydrochlorothiazide
NEDD4L,rs292449,atenolol
NEDD4L,rs1008899,hydrochlorothiazide
NEDD4L,rs1008899,atenolol
NEDD4L,rs75982813,hydrochlorothiazide
NEDD4L,rs4149601,atenolol
NEDD4L,rs4149601,hydrochlorothiazide
NEDD4L,rs4149601,diltiazem
NEDD4L,rs520210,citalopram
NEDD4L,rs4149601,"Beta blocking agents, selective"
NEDD4L,rs4149601,diuretics
NEDD4L,rs4149601,hydrochlorothiazide
NEDD4L,rs4149601,Aldosterone antagonists
NEDD4L,rs4149601,amiloride
NEDD4L,rs4149601,"Beta blocking agents, selective"
NEDD4L,rs4149601,diuretics
NEDD4L,rs4149601,diltiazem
NEDD4L,rs292449,hydrochlorothiazide
NEDD4L,rs292449,hydrochlorothiazide
NEDD4L,rs1008899,hydrochlorothiazide
NEDD4L,rs75982813,atenolol
NEDD4L,rs4149601,hydrochlorothiazide
NEDD4L,rs4149601,Antihypertensives
AGAP1,rs1869295,risperidone
C8orf34,rs1517114,irinotecan
FBXW12,rs17080138,losartan
FBXW12,rs17080138,losartan E-3174
HCN1,rs79983226,tramadol
ALDH1L1,rs2886059,methylphenidate
PDGFRB,rs2302273,bevacizumab
PDGFRB,rs2302273,fluorouracil
PDGFRB,rs2302273,irinotecan
PDGFRB,rs2302273,leucovorin
PDGFRB,rs797044887,imatinib
PDGFRB,rs201866603,imatinib
APCDD1,rs564991,Dihydropyridine derivatives
CELSR2,rs646776,hmg coa reductase inhibitors
EBF1,rs4551053,hydrochlorothiazide
DDHD1,rs17126068,warfarin
UBASH3B,rs10736526,gemcitabine
ADAM33,rs3918396,corticosteroids
ADAM33,rs3918396,selective beta-2-adrenoreceptor agonists
ADAM33,rs2853209,corticosteroids
ADAM33,rs2853209,selective beta-2-adrenoreceptor agonists
ADAM33,rs2787094,ustekinumab
TRPM6,rs2274924,Proton pump inhibitors
TRPM6,rs3750425,Proton pump inhibitors
ALOX12,rs11078659,celecoxib
ACP1,rs11553746,corticosteroids
TNIK,rs7627954,risperidone
TNIK,rs2088885,risperidone
PPARD,rs2076169,fluorouracil
PPARD,rs2076169,irinotecan
PPARD,rs2076169,leucovorin
PPARD,rs2076169,fluorouracil
PPARD,rs2076169,irinotecan
PPARD,rs2076169,leucovorin
PPARD,rs2016520,docetaxel
PPARD,rs2016520,thalidomide
PPARD,rs3734254,docetaxel
PPARD,rs3734254,thalidomide
PPARD,rs7769719,docetaxel
PPARD,rs7769719,thalidomide
PPARD,rs6922548,docetaxel
PPARD,rs6922548,thalidomide
PPARD,rs1883322,docetaxel
PPARD,rs1883322,thalidomide
PPARD,rs2038067,cisplatin
PPARD,rs2016520,capecitabine
PPARD,rs2016520,fluorouracil
LRP1,rs1800139,warfarin
LRP1,rs1800154,warfarin
LRP1,rs11172113,Selective serotonin (5HT1) agonists
LRP1,rs11172113,botulinum toxin type a
LRP1,rs7204252,platinum
LRP1,rs4788186,platinum
LRP1,rs1057451,platinum
LRP1,rs4788184,platinum
ARF1,rs11541557,afatinib
ARF1,rs11541557,erlotinib
ARF1,rs11541557,gefitinib
TNFSF11,rs7984870,anastrozole
TNFSF11,rs7984870,letrozole
TNFSF11,rs9594782,anastrozole
TNFSF11,rs9594782,letrozole
TNFSF11,rs2277438,anastrozole
TNFSF11,rs2277438,letrozole
TNFSF11,rs9533166,anastrozole
TNFSF11,rs9533166,letrozole
TNFSF11,rs7984870,anastrozole
TNFSF11,rs7984870,letrozole
TNFSF11,rs9566990,anastrozole
TNFSF11,rs9566990,letrozole
ARVCF,rs174699,morphine
ARVCF,rs165728,morphine
ERCC6L2,rs689979,diuretics
ERCC6L2,rs689979,hydrochlorothiazide
ERCC6L2,rs689979,"Thiazides, plain"
TCL1A,rs7158782,estradiol
TCL1A,rs7158782,estradiol
TCL1A,rs7158782,estradiol
TCL1A,rs7158782,estradiol
TCL1A,rs7159713,estradiol
TCL1A,rs7159713,estradiol
TCL1A,rs7159713,estradiol
TCL1A,rs7159713,estradiol
TCL1A,rs2369049,exemestane
TCL1A,rs7158782,estradiol
TCL1A,rs7159713,estradiol
TCL1A,rs11849538,anastrozole
TCL1A,rs7159713,anastrozole
TCL1A,rs11849538,exemestane
TRPV3,rs7217270,botulinum toxin type a
TIRAP,rs8177374,ustekinumab
TRAC,rs377360,clozapine
PDLIM5,rs2433322,lithium
PDLIM5,rs2433320,lithium
PDLIM5,rs2452600,fluoxetine
MOV10,rs12069113,atenolol
MOV10,rs2932538,atenolol
NEIL1,rs4462560,fluorouracil
NEIL1,rs4462560,Platinum compounds
NEIL1,rs4462560,radiotherapy
NEIL1,rs7402844,fluorouracil
NEIL1,rs7402844,Platinum compounds
NEIL1,rs7402844,radiotherapy
DNMT3A,rs2304429,warfarin
FBXL17,rs4431329,hydrochlorothiazide
FBXL17,rs7706429,hydrochlorothiazide
ZNF804A,rs7597593,opioids
ZNF804A,rs1344706,antipsychotics
ZNF804A,rs12693402,lithium
ZNF804A,rs62200793,lithium
CYP3A4,Unknown Variant,nifedipine
CYP3A4,rs35599367,tacrolimus
CYP3A4,rs6956344,tacrolimus
CYP3A4,rs2740574,tacrolimus
CYP3A4,rs1851426,tacrolimus
CYP3A4,rs2687116,tacrolimus
CYP3A4,Unknown Variant,cyclosporine
CYP3A4,Unknown Variant,tacrolimus
CYP3A4,rs4646437,tacrolimus
CYP3A4,Unknown Variant,tacrolimus
CYP3A4,rs2242480,clopidogrel
CYP3A4,rs4646437,tacrolimus
CYP3A4,rs4646437,cyclosporine
CYP3A4,rs4646437,cyclosporine
CYP3A4,Unknown Variant,fentanyl
CYP3A4,rs2740574,atazanavir
CYP3A4,rs35599367,tacrolimus
CYP3A4,rs35599367,tacrolimus
CYP3A4,Unknown Variant,simvastatin
CYP3A4,rs2740574,sirolimus
CYP3A4,rs35599367,tacrolimus
CYP3A4,Unknown Variant,sirolimus
CYP3A4,Unknown Variant,tacrolimus
CYP3A4,rs28371759,warfarin
CYP3A4,Unknown Variant,tacrolimus
CYP3A4,rs2740574,amlodipine
CYP3A4,rs2740574,amlodipine
